City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Ponta Do Sol,PT,2022-05-16 16:01:08,32.6667,-17.1,77.72,74,0,7.18
164,Jinchang,CN,2022-05-16 16:01:08,38.4953,102.1739,57.47,12,52,4.27
165,Babushkin,RU,2022-05-16 16:01:09,51.7122,105.8647,50.67,61,99,6.2
166,Lagoa,PT,2022-05-16 16:01:09,39.05,-27.9833,56.55,67,16,27.63
167,Bethel,US,2022-05-16 15:57:12,41.3712,-73.414,81.18,73,16,1.01
168,Puerto Ayora,EC,2022-05-16 16:01:10,-0.7393,-90.3518,76.55,89,68,9.19
169,Verkhnyaya Inta,RU,2022-05-16 16:01:10,65.9811,60.3094,37.31,97,100,11.01
170,Butaritari,KI,2022-05-16 16:01:11,3.0707,172.7902,81.91,71,97,16.46
171,Nikolskoye,RU,2022-05-16 16:01:11,59.7035,30.7861,50.79,82,100,8.7
172,Sorland,NO,2022-05-16 16:01:11,67.667,12.6934,39.06,62,94,16.87
173,Ilhabela,BR,2022-05-16 16:01:12,-23.7781,-45.3581,70.72,84,58,7.58
174,Bay Saint Louis,US,2022-05-16 15:59:47,30.3088,-89.33,86.02,70,75,8.14
175,Karratha,AU,2022-05-16 16:01:12,-20.7377,116.8463,74.1,76,99,7.74
176,Biak,ID,2022-05-16 16:01:13,-0.9131,122.8766,76.3,87,100,3.06
177,Melfi,IT,2022-05-16 16:01:13,40.9965,15.6514,71.49,71,91,1.52
178,Barrow,US,2022-05-16 16:01:13,71.2906,-156.7887,15.82,79,100,16.11
179,Bintulu,MY,2022-05-16 16:01:14,3.1667,113.0333,78.35,88,90,2.62
180,Maku,IR,2022-05-16 16:02:14,39.2911,44.4521,56.8,74,52,6.71
181,Hasaki,JP,2022-05-16 16:02:15,35.7333,140.8333,57.6,92,100,18.43
182,Xuanhua,CN,2022-05-16 16:02:15,40.6103,115.0447,64.94,19,58,5.08
183,Mitsamiouli,KM,2022-05-16 16:02:16,-11.3847,43.2844,80.51,72,54,12.1
184,Calvinia,ZA,2022-05-16 16:02:16,-31.4707,19.776,70.2,17,0,8.05
185,Mikropolis,GR,2022-05-16 16:02:16,41.1935,23.8157,76.3,64,7,3.65
186,Tasiilaq,GL,2022-05-16 16:02:17,65.6145,-37.6368,35.76,98,100,10.04
187,Nogliki,RU,2022-05-16 16:02:17,51.8333,143.1667,33.12,95,98,5.75
188,Yumen,CN,2022-05-16 16:02:18,40.2833,97.2,59.36,8,79,8.61
189,Dikson,RU,2022-05-16 16:02:18,73.5069,80.5464,33.49,99,100,6.91
190,Faya,SA,2022-05-16 16:02:18,18.3851,42.4509,74.93,11,3,8.05
191,Kudahuvadhoo,MV,2022-05-16 16:02:19,2.6708,72.8944,83.73,80,95,17.72
192,Maceio,BR,2022-05-16 16:00:23,-9.6658,-35.7353,85.44,65,40,9.22
193,Alto Araguaia,BR,2022-05-16 16:02:19,-17.3147,-53.2153,71.26,76,97,5.26
194,Saint-Francois,FR,2022-05-16 16:02:20,46.4154,3.9054,78.24,47,0,6.91
195,Sabang,ID,2022-05-16 16:02:20,5.8933,95.3214,83.5,73,100,8.59
196,Nemuro,JP,2022-05-16 16:02:21,43.3236,145.575,43.38,87,99,12.73
197,Kahului,US,2022-05-16 16:02:21,20.8947,-156.47,71.83,83,41,3.0
198,Carnarvon,AU,2022-05-16 16:02:21,-24.8667,113.6333,71.24,54,0,10.42
199,Saskylakh,RU,2022-05-16 16:02:22,71.9167,114.0833,26.74,90,100,7.38
200,Asau,RO,2022-05-16 16:02:22,46.4333,26.4,70.72,78,100,2.93
201,Tanout,NE,2022-05-16 16:02:23,14.9709,8.8879,99.01,8,0,16.82
202,Agadir,MA,2022-05-16 16:00:26,30.4202,-9.5982,77.45,56,0,9.71
203,Sitka,US,2022-05-16 16:02:23,57.0531,-135.33,40.53,91,100,2.86
204,Beira,MZ,2022-05-16 16:02:24,-19.8436,34.8389,75.29,78,75,9.22
205,Fairbanks,US,2022-05-16 15:58:17,64.8378,-147.7164,37.31,91,100,1.32
206,Batticaloa,LK,2022-05-16 16:02:24,7.7102,81.6924,84.38,70,100,4.5
207,Bengkulu,ID,2022-05-16 16:02:24,-3.8004,102.2655,78.48,88,100,3.44
208,Endicott,US,2022-05-16 15:59:13,42.0984,-76.0494,74.35,75,71,5.01
209,Kavieng,PG,2022-05-16 16:02:25,-2.5744,150.7967,81.12,76,64,7.99
210,Preobrazheniye,RU,2022-05-16 16:02:25,42.9019,133.9064,47.05,82,79,1.25
211,Mount Gambier,AU,2022-05-16 16:02:26,-37.8333,140.7667,51.46,64,100,10.76
212,Lipova,RO,2022-05-16 16:02:26,46.0833,21.7,80.24,57,29,5.82
213,Broome,US,2022-05-16 16:02:27,42.2506,-75.833,74.46,73,75,11.01
214,Notre-Dame-Du-Lac,CA,2022-05-16 16:02:27,47.6136,-68.7964,61.88,82,100,1.7
215,Huangnihe,CN,2022-05-16 16:02:27,43.5583,128.0239,41.94,75,26,3.98
216,Srednekolymsk,RU,2022-05-16 16:02:28,67.45,153.6833,32.32,99,99,5.3
217,Nishihara,JP,2022-05-16 16:02:28,26.1842,127.7558,64.06,94,100,10.36
218,Arethousa,GR,2022-05-16 16:02:29,40.7435,23.5898,76.66,74,4,3.47
219,Los Llanos De Aridane,ES,2022-05-16 16:02:29,28.6585,-17.9182,70.12,72,40,8.01
220,Kungurtug,RU,2022-05-16 16:02:29,50.5994,97.5228,54.95,48,100,2.15
221,Totolapa,MX,2022-05-16 16:02:30,18.5167,-96.1833,89.78,44,9,1.25
222,Dongsheng,CN,2022-05-16 16:02:30,39.8161,109.9776,58.17,13,57,13.42
223,Agirish,RU,2022-05-16 16:02:31,61.9247,63.0231,52.93,61,54,3.09
224,Vila Velha,BR,2022-05-16 16:00:19,-20.3297,-40.2925,76.95,74,97,4.56
225,San Rafael,AR,2022-05-16 15:58:44,-34.6177,-68.3301,52.75,35,0,4.9
226,Husavik,IS,2022-05-16 16:03:31,66.0449,-17.3389,56.91,56,80,11.74
227,Tura,IN,2022-05-16 16:03:32,25.5198,90.2201,72.73,97,93,5.3
228,Zhigalovo,RU,2022-05-16 16:03:32,54.8097,105.1578,55.8,53,100,4.85
229,Constitucion,CL,2022-05-16 16:03:32,-35.3333,-72.4167,61.83,51,3,3.11
230,Natal,BR,2022-05-16 16:01:10,-5.795,-35.2094,83.05,89,40,14.97
231,Nanortalik,GL,2022-05-16 16:03:33,60.1432,-45.2371,37.38,75,100,7.09
232,Namibe,AO,2022-05-16 16:03:33,-15.1961,12.1522,75.24,61,0,13.67
233,Asyut,EG,2022-05-16 16:01:09,27.181,31.1837,86.05,16,100,19.8
234,Virginia Beach,US,2022-05-16 16:02:26,36.8529,-75.978,86.05,65,4,11.48
235,Barra Da Estiva,BR,2022-05-16 16:03:34,-13.6261,-41.3269,80.22,48,100,1.66
236,Coquimbo,CL,2022-05-16 16:03:34,-29.9533,-71.3436,59.61,73,49,4.43
237,Ukiah,US,2022-05-16 16:03:34,39.1502,-123.2078,63.05,75,0,5.75
238,Santo Tomas,PH,2022-05-16 16:03:35,14.1079,121.1414,77.56,91,100,1.86
239,Kirakira,SB,2022-05-16 16:03:35,-10.4544,161.9205,78.39,84,100,4.65
240,Katsuura,JP,2022-05-16 16:03:35,35.1333,140.3,58.32,95,100,13.13
241,Vitry-Le-Francois,FR,2022-05-16 16:00:05,48.7333,4.5833,76.06,61,48,6.04
242,Kjollefjord,NO,2022-05-16 16:03:36,70.9457,27.3465,37.22,75,75,14.97
243,Libertador General San Martin,AR,2022-05-16 16:03:36,-23.8064,-64.7876,54.97,69,98,3.87
244,Tiquicheo,MX,2022-05-16 16:03:37,18.8833,-100.7333,92.84,23,33,3.33
245,Turukhansk,RU,2022-05-16 16:03:37,65.8167,87.9833,50.2,78,100,8.21
246,Anderson,US,2022-05-16 16:02:18,34.5334,-82.6499,85.24,64,0,10.36
247,Corumba,BR,2022-05-16 16:03:38,-19.0092,-57.6533,66.29,58,100,7.67
248,Roros,NO,2022-05-16 16:03:38,62.5747,11.3842,37.67,66,25,12.17
249,Monte Alegre,BR,2022-05-16 16:03:39,-2.0078,-54.0692,85.15,67,100,5.95
250,Bakchar,RU,2022-05-16 16:03:39,57.0186,82.0711,58.75,77,100,7.34
251,Fortuna,US,2022-05-16 16:03:39,40.5982,-124.1573,55.85,95,75,11.5
252,Road Town,VG,2022-05-16 16:00:21,18.4167,-64.6167,86.04,62,40,12.66
253,Loding,NO,2022-05-16 16:03:40,67.3,14.75,41.54,70,75,12.66
254,Ostrovnoy,RU,2022-05-16 16:03:40,68.0531,39.5131,37.08,83,100,16.49
255,Kamaishi,JP,2022-05-16 16:03:41,39.2667,141.8833,50.05,94,94,7.92
256,Glogow,PL,2022-05-16 16:03:41,51.6636,16.0845,72.05,52,43,8.63
257,Derzhavinsk,KZ,2022-05-16 16:03:42,51.1,66.3167,65.17,53,68,13.18
258,Boguchany,RU,2022-05-16 16:03:42,58.3814,97.4531,54.0,93,31,4.85
259,Salvador,SV,2022-05-16 16:03:42,13.8333,-88.9167,88.05,36,82,3.58
260,Sinolon,PH,2022-05-16 16:03:43,6.2439,124.8144,73.69,89,83,1.68
261,Neuquen,AR,2022-05-16 16:00:46,-38.9516,-68.0591,51.3,46,0,5.03
262,Opuwo,NA,2022-05-16 16:03:43,-18.0607,13.84,80.71,24,38,11.41
263,Benghazi,LY,2022-05-16 16:00:29,32.1167,20.0667,74.03,40,0,8.63
264,Kapit,MY,2022-05-16 16:03:44,2.0167,112.9333,74.61,99,99,0.16
265,Bereda,ES,2022-05-16 16:03:44,43.2686,-7.5406,77.41,45,31,9.51
266,Zhanaozen,KZ,2022-05-16 16:04:44,43.3,52.8,66.34,60,100,29.28
267,Kapoeta,SS,2022-05-16 16:04:45,4.7717,33.5903,87.89,33,56,12.39
268,Hastings,GB,2022-05-16 16:04:28,50.8552,0.5729,69.13,83,18,14.47
269,Vardo,NO,2022-05-16 16:04:45,70.3705,31.1107,39.18,75,75,25.32
270,Boa Vista,BR,2022-05-16 16:04:46,2.8197,-60.6733,84.18,74,75,9.22
271,Hefei,CN,2022-05-16 16:04:46,31.8639,117.2808,65.41,54,0,7.96
272,Hays,US,2022-05-16 16:04:47,30.0502,-98.0336,86.27,60,33,1.99
273,Broken Hill,AU,2022-05-16 16:04:47,-31.95,141.4333,53.13,63,0,6.73
274,Algiers,DZ,2022-05-16 16:01:48,36.7525,3.042,71.42,64,0,6.91
275,Ishigaki,JP,2022-05-16 16:04:47,24.3448,124.1572,70.36,87,100,24.56
276,Diffa,NE,2022-05-16 16:04:48,13.3154,12.6113,99.97,13,4,13.87
277,Eydhafushi,MV,2022-05-16 16:04:48,5.1033,73.0708,83.34,80,100,23.4
278,Koutsouras,GR,2022-05-16 16:04:49,35.0339,25.9469,74.1,61,0,5.59
279,Leningradskiy,RU,2022-05-16 16:04:49,69.3833,178.4167,14.5,94,68,7.74
280,Redwater,US,2022-05-16 16:04:49,33.3582,-94.2544,82.9,73,98,6.55
281,Marienburg,PL,2022-05-16 16:01:08,54.0359,19.0266,61.57,70,100,12.12
282,San Policarpo,PH,2022-05-16 16:04:50,12.1791,125.5072,81.25,85,100,9.86
283,Asosa,ET,2022-05-16 16:04:50,10.0667,34.5333,64.29,87,55,3.42
284,Ulaangom,MN,2022-05-16 16:04:51,49.9811,92.0667,63.39,40,100,13.6
285,La Ronge,CA,2022-05-16 16:04:51,55.1001,-105.2842,35.83,83,100,6.49
286,Muscat,OM,2022-05-16 16:00:40,23.6139,58.5922,90.73,31,0,5.12
287,Matamoros,MX,2022-05-16 16:04:23,25.5333,-103.25,84.31,23,0,9.22
288,Novaya Igirma,RU,2022-05-16 16:04:52,57.1334,103.9112,57.31,73,100,7.67
289,Palauig,PH,2022-05-16 16:04:52,15.435,119.9045,81.12,80,99,4.36
290,Kunming,CN,2022-05-16 16:04:53,25.0389,102.7183,55.18,82,100,3.71
291,Saint-Joseph,RE,2022-05-16 16:04:53,-21.3667,55.6167,71.98,81,90,13.69
292,Rengo,CL,2022-05-16 16:04:53,-34.4167,-70.8667,62.92,22,1,3.27
293,Wolverhampton,GB,2022-05-16 16:02:57,52.5855,-2.123,67.44,68,74,1.01
294,Opelika,US,2022-05-16 16:04:54,32.6454,-85.3783,82.76,60,0,5.75
